crops,Area Acres,Per Area yield (KG),Production in (KG),Year_range,crop_type,year mid point,crop indexing,location
chilies(summer),53161.09,3506.46,186404330,2023-2024,CONDIMENTS & SPICES,2023.5,1,Bangladesh
chilies(summer),50624,3286.09,166355050,2024-2025,CONDIMENTS & SPICES,2024.5,1,Bangladesh
chilies(winter),208699,475,99056000,2015-2016,CONDIMENTS & SPICES,2015.5,1,Bangladesh
chilies(winter),211824,499,105764000,2016-2017,CONDIMENTS & SPICES,2016.5,1,Bangladesh
chilies(winter),204022,516,105236000,2017-2018,CONDIMENTS & SPICES,2017.5,1,Bangladesh
chilies(winter),195256,543,106021000,2018-2019,CONDIMENTS & SPICES,2018.5,1,Bangladesh
chilies(winter),191076,585.96,111963000,2019-2020,CONDIMENTS & SPICES,2019.5,1,Bangladesh
chilies(winter),196768.37,2000.1,393555620,2020-2021,CONDIMENTS & SPICES,2020.5,1,Bangladesh
chilies(winter),192709.69,2574.98,496223530,2021-2022,CONDIMENTS & SPICES,2021.5,1,Bangladesh
chilies(winter),188888.78,2685.18,507200880,2022-2023,CONDIMENTS & SPICES,2022.5,1,Bangladesh
chilies(winter),191521.12,2934.02,561927160,2023-2024,CONDIMENTS & SPICES,2023.5,1,Bangladesh
chilies(winter),190909.53,2940.65,561397380,2024-2025,CONDIMENTS & SPICES,2024.5,1,Bangladesh
corianderleaf,7377,744,5487000,2018-2019,CONDIMENTS & SPICES,2018.5,1,Bangladesh
corianderleaf,7508.73,748,5616620,2019-2020,CONDIMENTS & SPICES,2019.5,1,Bangladesh
corianderleaf,8112.26,777.71,6309000,2020-2021,CONDIMENTS & SPICES,2020.5,1,Bangladesh
corianderleaf,9212,850.66,7836320,2021-2022,CONDIMENTS & SPICES,2021.5,1,Bangladesh
corianderleaf,50196.17,444.97,22336020,2022-2023,CONDIMENTS & SPICES,2022.5,1,Bangladesh
corianderleaf,9578.75,909.54,8712260,2022-2023,CONDIMENTS & SPICES,2022.5,1,Bangladesh
