CROP NAME,Crop type,Area Under garden(acre),Average Yield per fruit bearing tree,In garden production,In garden prduction (KG),Outside garden production,total production m tons,total production in KG,Year range,Year mid range,crop indexing,,,,,,,,,
Date Palm (Juice),Sugar Crop,75260,53,16178,,136569,152747,152747000,2019-2020,2019.5,2,,,,,,,,,
Date Palm (Juice),Sugar Crop,68400,50.58,13447,,136314,149761,149761000,2020-2021,2020.5,2,,,,,,,,,
Date Palm (Juice),Sugar Crop,17673.5,59.61,,,,167792.75,167792750,2022-2023,2022.5,2,,,,,,,,,
Date Palm (Juice),Sugar Crop,17555.69,57.44,,,,158083.52,158083520.00,2023-2024,2023.5,2,,,,,,,,,
Date Palm (Juice),Sugar Crop,17510.67,58.17,,,,158817.15,158817150,2024-2025,2024.5,2,,,,,,,,,
Date Palm (Juice),Sugar Crop,39057.74,53.23,16171.69,,136391.94,152563.63,152563630,2021-2022,2021.5,2,,,,,,,,,
Dragaon,Fruits (Permanent),18,2,35,,0,35,35000,2018-2019,2018.5,2,,,,,,,,,
Dragaon,Fruits (Permanent),34,4,125,,16,141,141000,2019-2020,2019.5,2,,,,,,,,,
Dragaon,Fruits (Permanent),349.69,5.04,942.3,,196.4,1138.7,1138700,2020-2021,2020.5,2,,,,,,,,,
Dragaon,Fruits (Permanent),717.53,4.08,3094.47,,59.37,3153.84,3153840,2021-2022,2021.5,2,,,,,,,,,
Dragaon,Fruits (Permanent),1135.4,4.61,,,,5959.29,5959290,2022-2023,2022.5,2,,,,,,,,,
Dragaon,Fruits (Permanent),1914.31,5.11,,,,9754.91,9754910.00,2023-2024,2023.5,2,,,,,,,,,
Dragaon,Fruits (Permanent),2092.62,5.31,,,,12522.38,12522380,2024-2025,2024.5,2,,,,,,,,,
Elephant Apple (Chalta),Fruits (Permanent),5002,61,47,,9588,9635,9635000,2018-2019,2018.5,2,,,,,,,,,
Elephant Apple (Chalta),Fruits (Permanent),5196.7,61.99,68,,9741,9809,9809000,2019-2020,2019.5,2,,,,,,,,,
Elephant Apple (Chalta),Fruits (Permanent),5106.77,61.84,41,,10490.47,10531.47,10531470,2020-2021,2020.5,2,,,,,,,,,
Elephant Apple (Chalta),Fruits (Permanent),3376.84,56.91,1187.81,,9492.17,10679.98,10679980,2021-2022,2021.5,2,,,,,,,,,
Elephant Apple (Chalta),Fruits (Permanent),3186.75,58.75,,,,102014.44,102014440,2022-2023,2022.5,2,,,,,,,,,
Elephant Apple (Chalta),Fruits (Permanent),2523.39,56.94,,,,10045.75,10045750.00,2023-2024,2023.5,2,,,,,,,,,
Elephant Apple (Chalta),Fruits (Permanent),2545.87,56.72,,,,10163.2,10163200,2024-2025,2024.5,2,,,,,,,,,
Guava,Fruits (Permanent),96608,24,104138,,132743,236881,236881000,2018-2019,2018.5,2,,,,,,,,,
Green Coconut,Fruits (Permanent),11635,66,48581,,375001,423582,423582000,2015-2016,2015.5,2,,,,,,,,,
Green Coconut,Fruits (Permanent),3585,76,42890,,428156,471046,471046000,2016-2017,2016.5,2,,,,,,,,,
Green Coconut,Fruits (Permanent),19254,68,48755,,396512,445267,445267000,2017-2018,2017.5,2,,,,,,,,,
Green Coconut,Fruits (Permanent),77213,74,200931,,272144,473075,473075000,2018-2019,2018.5,2,,,,,,,,,
Green Coconut,Fruits (Permanent),77153,73.23,141448,,338221,479669,479669000,2019-2020,2019.5,2,,,,,,,,,
Green Coconut,Fruits (Permanent),62576,69.32,30827,,411881,442708,442708000,2020-2021,2020.5,2,,,,,,,,,
Green Coconut,Fruits (Permanent),61093.89,71.66,33039.86,,424915.38,458855.24,458855240,2021-2022,2021.5,2,,,,,,,,,
